step,dispersal,impurity,target
1,0.001538,0.999829,-0.003070
2,0.000846,0.999770,-0.001691
3,0.003602,0.998144,-0.007179
4,0.008072,0.997118,-0.016015
5,0.040328,0.989721,-0.077498
6,0.111707,0.981619,-0.200587
7,0.175908,0.971078,-0.297859
8,0.242968,0.941727,-0.386275
9,0.293891,0.921773,-0.445683
10,0.346751,0.906227,-0.501581
