step,dispersal,impurity,target
1,0.001538,0.999829,-0.003070
2,0.003602,0.998222,-0.007178
3,0.003602,0.998144,-0.007179
4,0.006606,0.997205,-0.013125
5,0.038861,0.989815,-0.074787
6,0.110240,0.981784,-0.198223
7,0.174441,0.971326,-0.295766
8,0.241990,0.942029,-0.385064
9,0.292913,0.922072,-0.444593
10,0.345774,0.906622,-0.500618
