step,dispersal,impurity,target
1,0.001538,0.999829,-0.003070
2,0.000846,0.999770,-0.001691
3,0.003602,0.998144,-0.007179
4,0.007149,0.997199,-0.014196
5,0.039404,0.989809,-0.075792
6,0.110783,0.981734,-0.199099
7,0.174984,0.971223,-0.296541
8,0.242352,0.941910,-0.385512
9,0.293275,0.921955,-0.444996
10,0.346136,0.906459,-0.500973
11,0.377139,0.888712,-0.529553
12,0.449606,0.879087,-0.594934
